sample,n_units,h_z_corr,theta_y_scale_multiplier,method,config,T0,T1,branch,estimator,n,coverage,mean_bias,mean_abs_error,rmse,mean_se,sd_bias,mean_weight_corr,mean_shock,mean_iv_moment_bias_ratio,critical
restricted,49,0.25,4.5,AR,finite_length,5,10,Basic,TSLS,1000,0.834,nan,nan,nan,nan,nan,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
restricted,49,0.25,4.5,AR,finite_length,5,10,GFE,SIV,1000,0.812,nan,nan,nan,nan,nan,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
restricted,49,0.25,4.5,AR,finite_length,5,10,GFE,TSLS,1000,0.811,nan,nan,nan,nan,nan,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
restricted,49,0.25,4.5,AR,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.77,nan,nan,nan,nan,nan,0.7673177525012475,0.024889073045790723,0.017040425176919668,2.306004135204166
restricted,49,0.25,4.5,AR,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.674,nan,nan,nan,nan,nan,0.7673177525012475,0.005498795216604094,0.13188557581046834,2.306004135204166
restricted,49,0.25,4.5,ARIMA-Z,finite_length,5,10,Aggregate Shock,SIV,1000,0.858,0.0036154802589482993,0.03489088269470035,0.05501154655863046,0.03535966913795638,0.05492007622028181,0.7674708203989775,0.002239740607514481,0.003615480258948284,2.306004135204166
restricted,49,0.25,4.5,ARIMA-Z,finite_length,5,10,Aggregate Shock,TSLS,1000,0.752,0.38023082323796664,1.2181993923409344,5.448215524932585,20.514594469530703,5.437650685006197,0.7674708203989775,0.3842887289066596,0.380230823237965,2.306004135204166
restricted,49,0.25,4.5,ARIMA-Z,finite_length,5,10,Basic,SIV,1000,0.902,0.0010161214696911517,0.01820379257826221,0.026032084321418243,0.020860600571561094,0.026025261295552136,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
restricted,49,0.25,4.5,ARIMA-Z,finite_length,5,10,Basic,TSLS,1000,0.9,0.0011162125130108897,0.017069212562017367,0.023618629710466407,0.019240458924124126,0.02360404393140803,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
restricted,49,0.25,4.5,ARIMA-Z,finite_length,5,10,GFE,SIV,1000,0.884,-1.3798899967071065e-05,0.04961722585595104,0.09046302931984146,0.056263926913116394,0.09050829373348833,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
